variety,seeding_rate,seeding_depth,seeding_window,days_to_maturity,row_spacing,harvest_notes,seed_sources,grower_tips,bread_notes,malt_profile,falling_number,test_weight,sourdough_notes,end_use,species,malt_type,modification,diastatic_power,color_lovibond,extract_potential_pct,kilning_notes,flour_extraction_pct,ash_content_pct,gluten_strength,water_absorption_pct,ideal_stone_type,milling_notes
Purple Straw,90-110 kg/ha,3-5 cm,Sep 15-Oct 15 (winter),280-310,15-18 cm,Heritage soft wheat; may lodge; harvest before overripe; low yields,Heritage Grain Conservancy;GRIN/NPGS;Seed Savers Exchange,Heritage soft wheat; pre-industrial American variety,Soft wheat; 9-11% protein; best for pastry and biscuits; not strong bread flour,,,,Delicate sourdough with subtle sweetness; soft wheat character,pastry;bread,Triticum aestivum,,,,,,,,,,,,
Sonora,90-110 kg/ha,3-5 cm,Feb 15-Mar 30 (spring) or Oct-Nov (mild winter),100-120,15-18 cm,Heritage soft wheat; tall; harvest early; grows well in dry conditions,Heritage Grain Conservancy;GRIN/NPGS;Seed Savers Exchange,Heritage soft white wheat; California Gold Rush era,Soft wheat; 9-11% protein; excellent tortillas and pastry; Mission wheat,,,,Mild sweet sourdough; soft crumb; Mission-era California wheat,pastry;bread,Triticum aestivum,,,,,,,,,,,,
Yecora Rojo,130-160 kg/ha,3-5 cm,Mar 01-Apr 15 (spring),85-100,15-18 cm,Short-season semi-dwarf; drought tolerant; harvest at 13% moisture,GRIN/NPGS;commercial,Semi-dwarf hard red spring wheat; drought tolerant,Good bread quality; 12-14% protein; adapted to dry conditions,,,,Standard sourdough wheat; clean neutral flavor,bread,Triticum aestivum,,,,,,,,,,,,
Kamut,80-100 kg/ha,3-5 cm,Apr 01-May 01 (spring),100-120,15-18 cm,Large kernels; harvest at 12-13% moisture; impressive tall plants,Kamut International;Heritage Grain Conservancy,Ancient khorasan wheat; large kernels; nutty flavor,Good bread and pasta grain; 12-15% protein; extensible gluten; rich buttery flavor,,,,Distinctive sourdough grain; buttery nutty flavor; large golden kernels,bread;sourdough;pastry,Triticum turgidum ssp. turanicum,,,,,,,,,,,,
Freekeh,100-130 kg/ha,3-4 cm,Apr 01-May 01 (spring) or Oct-Nov (winter),80-90 (harvested green at milk stage),15-18 cm,Harvest green at milk stage; roast over open fire; unique smoke-curing process,heritage sources;Middle Eastern seed banks,Smoked green wheat; harvested young and roasted,Not a bread grain; used as whole grain in pilafs and soups; smoky flavor,,,,Not suited for sourdough; used as whole grain side dish,dual-purpose,Triticum turgidum,,,,,,,,,,,,
Spelt,120-150 kg/ha,3-5 cm,Sep 15-Oct 10 (winter) or Mar-Apr (spring),280-310 (winter) / 100-120 (spring),15-18 cm,Hulled grain; needs dehulling before milling; tall stems,Heritage Grain Conservancy;ProSpecieRara;GRIN/NPGS,General spelt entry; see Oberkulmer Rotkorn and Frankenkorn for specifics,Good bread grain; 12-15% protein; extensible gluten; nutty flavor,,,,Excellent sourdough spelt; sweet mellow character; gentle handling needed,bread;sourdough,Triticum spelta,,,,,,,,,,,,
Onohoiskaya,90-110 kg/ha,2-3 cm,Aug 15-Sep 10 (winter),270-300,12-15 cm,Very hardy rye; harvest when grain darkens and awns dry; Siberian type,VIR;NordGen,Siberian winter rye; extreme cold tolerance,,,,,Robust cold-climate rye; suitable for dense dark breads,bread;feed,Secale cereale,,,,,,,,,,,,
Saratovskaya 5,90-110 kg/ha,2-3 cm,Aug 20-Sep 15 (winter),270-300,12-15 cm,Drought-adapted rye; harvest promptly when ripe; Volga region,VIR;GRIN/NPGS,Volga region rye; drought and cold hardy,,,,,Dual-purpose rye; grain and forage,bread;feed;forage,Secale cereale,,,,,,,,,,,,
Viatka 2,90-110 kg/ha,2-3 cm,Aug 15-Sep 10 (winter),270-300,12-15 cm,One of hardiest ryes; harvest when grain darkens; tall stems,VIR;GRIN/NPGS,Northern Russian rye; one of hardiest cultivars,,,,,Traditional Russian sourdough rye; extreme cold tolerance,bread;sourdough,Secale cereale,,,,,,,,,,,,
Tiril,140-160 kg/ha,3-4 cm,Apr 25-May 15 (spring),85-100,12-15 cm,Six-row spring barley; harvest when awns brittle and grain hard,Graminor;NordGen,Norwegian six-row barley,,,,,Standard feed/food barley,feed;malt,Hordeum vulgare,base,medium,100-130,1.5-2.5,79-82,Nordic craft malt; clean pale malt character,,,,,,
Otello,120-140 kg/ha,3-5 cm,Sep 01-Sep 25 (winter),250-280,15-18 cm,Winter barley; rare for Norway; check winterhardiness; harvest when dry,Graminor;NordGen,Norwegian winter barley; rare for Scandinavia,,Moderate malt potential; winter type,,,,feed;malt,Hordeum vulgare,,,,,,,,,,,,
Skálinn,130-150 kg/ha,3-4 cm,May 15-Jun 05 (spring),60-75,12-15 cm,Ultra-short season; harvest promptly at maturity; 65N latitude,Icelandic Agricultural University;NordGen,Icelandic barley; 60-70 day season at 65N,,,,,Short-season feed barley,feed,Hordeum vulgare,,,,,,,,,,,,
Hrafn,130-150 kg/ha,3-4 cm,May 15-Jun 05 (spring),60-75,12-15 cm,Very early maturity; adapted to extreme photoperiod; harvest promptly,Icelandic Agricultural University;NordGen,Icelandic barley; very early maturity,,,,,Icelandic feed barley,feed,Hordeum vulgare,,,,,,,,,,,,
Magni,130-150 kg/ha,3-4 cm,May 15-Jun 05 (spring),65-80,12-15 cm,Malting barley; harvest at low moisture for malt quality; extreme latitude,Icelandic Agricultural University;NordGen,Icelandic malting barley; long photoperiod,,Moderate malt quality; extreme latitude adapted,,,,malt,Hordeum vulgare,,,,,,,,,,,,
Bjarni,130-150 kg/ha,3-4 cm,May 15-Jun 05 (spring),60-75,12-15 cm,Feed barley; one of oldest current Icelandic cultivars; harvest at maturity,Icelandic Agricultural University;NordGen,Icelandic feed barley; one of oldest current cultivars,,,,,Feed barley,feed,Hordeum vulgare,,,,,,,,,,,,
Lieksa,140-160 kg/ha,3-4 cm,May 10-May 30 (spring),75-90,12-15 cm,Arctic barley; adapted to extreme northern Finland; harvest promptly,Boreal;NordGen,Finnish extreme northern barley,,,,,Arctic feed barley,feed,Hordeum vulgare,,,,,,,,,,,,
Kustaa,140-160 kg/ha,3-4 cm,May 05-May 25 (spring),80-95,12-15 cm,Continental barley; reliable in harsh Finnish conditions; harvest at maturity,Boreal;NordGen,Finnish barley for harsh continental conditions,,,,,Northern feed barley,feed,Hordeum vulgare,,,,,,,,,,,,
Nure,120-140 kg/ha,3-5 cm,Oct 01-Nov 01 (winter),240-270,15-18 cm,Winter barley; research reference; Nure x Tremois is reference mapping population,IPK Gatersleben;GRIN/NPGS,Italian-bred winter barley; research reference,,Research barley; Nure x Tremois is reference mapping population for Fr-H loci,,,,feed,Hordeum vulgare,,,,,,,,,,,,
Optic,140-160 kg/ha,3-4 cm,Mar 15-Apr 15 (spring),85-100,12-15 cm,Malting barley; harvest at low moisture for malt quality; UK benchmark,Syngenta;AHDB Recommended List,Scottish malting barley; reference cultivar,,Good malting barley; UK benchmark for malt quality,,,,malt,Hordeum vulgare,,,,,,,,,,,,
Priekuli 481,140-160 kg/ha,3-4 cm,Apr 20-May 15 (spring),85-100,12-15 cm,Baltic spring barley; widely grown across Baltics; reliable performer,NordGen;Priekuli Plant Breeding,Latvian spring barley; grown across Baltics,,,,,Feed barley for Baltic climates,feed,Hordeum vulgare,,,,,,,,,,,,
Auksiniai 3,140-160 kg/ha,3-4 cm,Apr 15-May 10 (spring),85-100,12-15 cm,Malting barley; Baltic maritime adapted; harvest at low moisture,NordGen;Lithuanian Institute of Agriculture,Lithuanian malting barley; Baltic adapted,,Moderate malt quality; Baltic maritime climate,,,,malt,Hordeum vulgare,,,,,,,,,,,,
Ada,140-160 kg/ha,3-4 cm,Apr 20-May 15 (spring),90-105,12-15 cm,Spring oat; harvest when panicle droops and grain firm; Baltic adapted,NordGen;Jõgeva Plant Breeding,Estonian spring oat; widely grown in Baltics,,,,,Standard feed/food oat,feed;dual-purpose,Avena sativa,,,,,,,,,,,,
Blessi,130-150 kg/ha,3-4 cm,May 15-Jun 05 (spring),75-90,12-15 cm,Very short season oat; Icelandic conditions; harvest promptly at maturity,Icelandic Agricultural University;NordGen,Icelandic oat; very short growing season,,,,,Icelandic feed oat,feed,Avena sativa,,,,,,,,,,,,
SW Ingeborg,140-160 kg/ha,3-4 cm,Apr 15-May 10 (spring),90-105,12-15 cm,Standard Nordic spring oat; reliable performer; good yield,Lantmannen;NordGen,Swedish spring oat; adapted to Nordic season,,,,,Standard food/feed oat,feed;dual-purpose,Avena sativa,,,,,,,,,,,,
Ivory,140-160 kg/ha,3-4 cm,Apr 15-May 10 (spring),90-100,12-15 cm,White oat; good milling quality; harvest when hulls change color,Lantmannen;NordGen,Swedish white oat; good milling quality,,,,,Food-quality oat; good for porridge,dual-purpose,Avena sativa,,,,,,,,,,,,
Cosinus,120-150 kg/ha,3-4 cm,Sep 10-Oct 05 (winter),275-305,12-15 cm,Winter triticale; among hardiest; harvest when grain hard and dry,Polish Plant Breeding;NordGen,Polish winter triticale; among hardiest,,,,,Feed/forage triticale,feed;forage,x Triticosecale,,,,,,,,,,,,
Szala,120-150 kg/ha,3-4 cm,Sep 10-Oct 05 (winter),275-305,12-15 cm,Dual-purpose triticale; can graze in fall or harvest for grain,Polish Plant Breeding;NordGen,Polish winter triticale; forage and grain,,,,,Feed/forage triticale,feed;forage,x Triticosecale,,,,,,,,,,,,
Aroma,1 tree per 4-6 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-6 m between trees,Harvest Sep-Oct; aromatic dessert apple; eat fresh; moderate storage,SLU Balsgard;Nordic nurseries,Sweden's most popular apple; aromatic dessert fruit,,,,,,fresh eating,Malus domestica,,,,,,,,,,,,
Katja,1 tree per 4-6 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-6 m between trees,Harvest early Sep; eat fresh; sweet-tart; does not store long,SLU Balsgard;Nordic nurseries,Balsgard apple; dessert quality,,,,,,fresh eating,Malus domestica,,,,,,,,,,,,
Frida,1 tree per 4-6 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-6 m between trees,Harvest mid-Sep; cold hardy; good for zone 3; crisp sweet,SLU Balsgard;Nordic nurseries,Balsgard apple; cold hardy,,,,,,fresh eating,Malus domestica,,,,,,,,,,,,
Kim,1 tree per 4-6 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-6 m between trees,Harvest mid-Sep; cold hardy; compact tree; sweet,SLU Balsgard;Nordic nurseries,Balsgard apple; cold hardy,,,,,,fresh eating,Malus domestica,,,,,,,,,,,,
Fredrik,1 tree per 4-6 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-6 m between trees,Harvest Oct; excellent storage to April; scab resistant,SLU Balsgard;Nordic nurseries,Balsgard apple; scab resistant; stores to April,,,,,,fresh eating,Malus domestica,,,,,,,,,,,,
Honeycrisp,1 tree per 4-6 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-6 m between trees,Harvest mid-Sep; explosive crunch; eat fresh; stores well,University of Minnesota;cold-hardy nurseries,Most commercially successful cold-hardy apple,,,,,,fresh eating,Malus domestica,,,,,,,,,,,,
Haralson,1 tree per 5-8 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,5-8 m between trees,Harvest Oct; tart; excellent long storage and baking quality,University of Minnesota;cold-hardy nurseries,Heritage Minnesota apple; tart; long storage,,,,,,fresh eating;juice/wine,Malus domestica,,,,,,,,,,,,
Zestar!,1 tree per 4-6 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-6 m between trees,Harvest mid-Aug; earliest season; eat fresh; does not store long,University of Minnesota;cold-hardy nurseries,Early-season crisp Minnesota apple,,,,,,fresh eating,Malus domestica,,,,,,,,,,,,
Parkland,1 tree per 4-6 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-6 m between trees,Harvest late Aug-Sep; zone 2-3 hardy; medium fruit; eat fresh,Agriculture Canada;cold-hardy nurseries,Prairie apple; zone 2-3 hardy,,,,,,fresh eating,Malus domestica,,,,,,,,,,,,
Goodland,1 tree per 4-6 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,4-6 m between trees,Harvest mid-Sep; zone 3 reliable; sweet-tart dessert apple,Agriculture Canada;cold-hardy nurseries,Canadian prairie apple; zone 3 reliable,,,,,,fresh eating,Malus domestica,,,,,,,,,,,,
Frontenac,1 vine per 2-3 m,graft or own-root; plant to 2nd bud,Apr-May (dormant),3 years to first crop,2-3 m in row; 3 m between rows,Harvest late Sep-early Oct; high acid; structured red wine; vigorous,University of Minnesota;cold-hardy nurseries,Red wine grape; survives -34C; vigorous,,,,,,juice/wine,Vitis hybrid,,,,,,,,,,,,
Frontenac Gris,1 vine per 2-3 m,graft or own-root; plant to 2nd bud,Apr-May (dormant),3 years to first crop,2-3 m in row; 3 m between rows,Harvest late Sep; grey-skinned Frontenac mutation; white or rosé wine,University of Minnesota;cold-hardy nurseries,Grey-skinned Frontenac mutation; white wine,,,,,,juice/wine,Vitis hybrid,,,,,,,,,,,,
La Crescent,1 vine per 2-3 m,graft or own-root; plant to 2nd bud,Apr-May (dormant),3 years to first crop,2-3 m in row; 3 m between rows,Harvest mid-Sep; Brix 24-26; apricot and citrus notes; aromatic white wine,University of Minnesota;cold-hardy nurseries,White wine grape; apricot notes; zone 4,,,,,,juice/wine,Vitis hybrid,,,,,,,,,,,,
Itasca,1 vine per 2-3 m,graft or own-root; plant to 2nd bud,Apr-May (dormant),3 years to first crop,2-3 m in row; 3 m between rows,Harvest mid-Sep; newest U Minnesota release; crisp fresh white wine,University of Minnesota;cold-hardy nurseries,Newest U Minnesota white wine grape,,,,,,juice/wine,Vitis hybrid,,,,,,,,,,,,
Brianna,1 vine per 2-3 m,graft or own-root; plant to 2nd bud,Apr-May (dormant),3 years to first crop,2-3 m in row; 3 m between rows,Harvest early Sep; pineapple-citrus aroma; tropical-styled white wine,Elmer Swenson;cold-hardy nurseries,White wine grape; pineapple aroma; zone 4,,,,,,juice/wine,Vitis hybrid,,,,,,,,,,,,
Louise Swenson,1 vine per 2-3 m,graft or own-root; plant to 2nd bud,Apr-May (dormant),3 years to first crop,2-3 m in row; 3 m between rows,Harvest mid-Sep; honey-melon aroma; delicate white wine; zone 3,Elmer Swenson;cold-hardy nurseries,White wine grape; honey-melon; zone 3,,,,,,juice/wine,Vitis hybrid,,,,,,,,,,,,
St. Croix,1 vine per 2-3 m,graft or own-root; plant to 2nd bud,Apr-May (dormant),3 years to first crop,2-3 m in row; 3 m between rows,Harvest mid-Sep; Beaujolais-style light red; early ripening; zone 3,Elmer Swenson;cold-hardy nurseries,Red wine grape; Beaujolais-style; zone 3,,,,,,juice/wine,Vitis hybrid,,,,,,,,,,,,
Valiant,1 vine per 2-3 m,own-root; plant to 2nd bud,Apr-May (dormant),3 years to first crop,2-3 m in row; 3 m between rows,Harvest early Sep; Concord-type; excellent for juice and jelly; vigorous,South Dakota State;cold-hardy nurseries,Extremely hardy grape; Concord-type; zone 2,,,,,,juice/wine;fresh eating,Vitis hybrid,,,,,,,,,,,,
Hasansky Sladky,1 vine per 2-3 m,own-root; plant to 2nd bud,Apr-May (dormant),3 years to first crop,2-3 m in row; 3 m between rows,Harvest early Sep; extremely cold hardy; small sweet berries; Amur hybrid,Russian Far East origins;specialty nurseries,Russian grape; tolerates -35 to -40C,,,,,,fresh eating;juice/wine,Vitis amurensis hybrid,,,,,,,,,,,,
Somerset Seedless,1 vine per 2-3 m,own-root; plant to 2nd bud,Apr-May (dormant),3 years to first crop,2-3 m in row; 3 m between rows,Harvest mid-Sep; rare seedless for cold climates; sweet pink table grape,Elmer Swenson;cold-hardy nurseries,One of few seedless grapes for cold climates,,,,,,fresh eating,Vitis hybrid,,,,,,,,,,,,
Mars,1 vine per 2-3 m,own-root; plant to 2nd bud,Apr-May (dormant),3 years to first crop,2-3 m in row; 3 m between rows,Harvest late Sep; seedless Concord-like; blue table grape; zone 5,University of Arkansas;commercial nurseries,Seedless blue grape; Concord-like; zone 5,,,,,,fresh eating,Vitis hybrid,,,,,,,,,,,,
Rondo,1 vine per 2 m,graft or own-root; plant to 2nd bud,Apr-May (dormant),3 years to first crop,2 m in row; 2.5-3 m between rows,Harvest late Sep-Oct; deep red wine; good for cool maritime climates,Geisenheim;European nurseries,Northern viticulture red wine grape,,,,,,juice/wine,Vitis hybrid,,,,,,,,,,,,
Solaris,1 vine per 2 m,graft or own-root; plant to 2nd bud,Apr-May (dormant),3 years to first crop,2 m in row; 2.5-3 m between rows,Harvest Sep; high Brix; aromatic white wine; early ripening for north,Freiburg;European nurseries,Northern viticulture white wine grape,,,,,,juice/wine,Vitis hybrid,,,,,,,,,,,,
Zilga,1 vine per 2-3 m,own-root; plant to 2nd bud,Apr-May (dormant),3 years to first crop,2-3 m in row; 3 m between rows,Harvest late Aug-early Sep; earliest ripening; table or wine grape,Latvian breeding;Baltic nurseries,Latvian hybrid; earliest ripening; zone 3-4,,,,,,juice/wine;fresh eating,Vitis hybrid,,,,,,,,,,,,
Aurora,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1.5 m in row; 3-4 m between rows,Harvest late Jun-early Jul; blue honeysuckle berry; hand pick; zone 2,University of Saskatchewan;cold-hardy nurseries,USask haskap; zone 2 hardy,,,,,,fresh eating,Lonicera caerulea,,,,,,,,,,,,
Borealis,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1.5 m in row; 3-4 m between rows,Harvest late Jun-early Jul; excellent sweet flavor; hand pick; zone 2,University of Saskatchewan;cold-hardy nurseries,USask haskap; zone 2; excellent flavor,,,,,,fresh eating,Lonicera caerulea,,,,,,,,,,,,
Boreal Beauty,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1.5 m in row; 3-4 m between rows,Harvest late Jun-early Jul; large berries; excellent fresh eating,University of Saskatchewan;cold-hardy nurseries,Latest Boreal series haskap; large berries,,,,,,fresh eating,Lonicera caerulea,,,,,,,,,,,,
Boreal Beast,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1.5 m in row; 3-4 m between rows,Harvest late Jun-early Jul; pollinator for Boreal series; good flavor,University of Saskatchewan;cold-hardy nurseries,Boreal series pollinator; excellent flavor,,,,,,fresh eating,Lonicera caerulea,,,,,,,,,,,,
Boreal Blizzard,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1.5 m in row; 3-4 m between rows,Harvest late Jun-early Jul; very large berries; latest Boreal release,University of Saskatchewan;cold-hardy nurseries,Boreal series; very large berries,,,,,,fresh eating,Lonicera caerulea,,,,,,,,,,,,
Indigo Gem,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1.5 m in row; 3-4 m between rows,Harvest late Jun-early Jul; most productive of Indigo series; mild flavor,University of Saskatchewan;cold-hardy nurseries,Most productive Indigo series haskap,,,,,,fresh eating,Lonicera caerulea,,,,,,,,,,,,
Honey Bee,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1.5 m in row; 3-4 m between rows,Harvest late Jun-early Jul; pollinator for Boreal and Indigo series,University of Saskatchewan;cold-hardy nurseries,Pollinator for Boreal and Indigo series,,,,,,fresh eating,Lonicera caerulea,,,,,,,,,,,,
Cinderella,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1.5 m in row; 3-4 m between rows,Harvest late Jun-early Jul; earlier generation haskap; reliable performer,University of Saskatchewan;cold-hardy nurseries,Earlier generation USask haskap,,,,,,fresh eating,Lonicera caerulea,,,,,,,,,,,,
Keiko,1 plant per 1.2 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1.2 m in row; 3 m between rows,Harvest late Jun; compact Japanese-Russian hybrid; sweet mild flavor,Japanese breeding;specialty nurseries,Compact Japanese-Russian haskap hybrid,,,,,,fresh eating,Lonicera caerulea,,,,,,,,,,,,
Strawberry Sensation,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1.5 m in row; 3-4 m between rows,Harvest late Jun-early Jul; newest USask release; strawberry-like flavor,University of Saskatchewan;cold-hardy nurseries,Newest USask haskap; strawberry flavor,,,,,,fresh eating,Lonicera caerulea,,,,,,,,,,,,
Berry Smart Blue,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1.5 m in row; 3-4 m between rows,Harvest late Jun; PNW-adapted haskap; hand pick; mild climate suited,Oregon State University;PNW nurseries,Oregon State PNW-adapted haskap,,,,,,fresh eating,Lonicera caerulea,,,,,,,,,,,,
Berry Blue,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1.5 m in row; 3-4 m between rows,Harvest late Jun; large sweet PNW haskap; hand pick,Oregon State University;PNW nurseries,Oregon State PNW haskap; large sweet,,,,,,fresh eating,Lonicera caerulea,,,,,,,,,,,,
Taka,1 plant per 1.2 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1.2 m in row; 3 m between rows,Harvest mid-Jun; early and sweet; Japanese cultivar; hand pick,Japanese breeding;specialty nurseries,Japanese haskap; early and sweet,,,,,,fresh eating,Lonicera caerulea,,,,,,,,,,,,
Yubari,1 plant per 1.2 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1.2 m in row; 3 m between rows,Harvest mid-Jun; premium large berries; Japanese cultivar; hand pick,Japanese breeding;specialty nurseries,Premium Japanese haskap; large berry,,,,,,fresh eating,Lonicera caerulea,,,,,,,,,,,,
Terhi,1 plant per 1 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1 m in row; 3 m between rows,Harvest Jul-Aug; thornless; easier harvest than wild types; needs male pollinator,MTT Finland;Nordic nurseries,Finnish sea buckthorn; thornless,,,,,,juice/wine,Hippophae rhamnoides,,,,,,,,,,,,
Tarmo,1 plant per 1 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1 m in row; 3 m between rows,Harvest Jul-Aug; cold hardy; thorny; needs male pollinator,MTT Finland;Nordic nurseries,Finnish sea buckthorn; cold hardy,,,,,,juice/wine,Hippophae rhamnoides,,,,,,,,,,,,
Longjiang 4,1 plant per 1 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1 m in row; 3 m between rows,Harvest Aug-Sep; large fruit; high oil content; Chinese cultivar,Chinese Academy;specialty nurseries,Chinese sea buckthorn; large fruit; high oil,,,,,,juice/wine,Hippophae rhamnoides,,,,,,,,,,,,
Prozrachnaya,1 plant per 1 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1 m in row; 3 m between rows,Harvest Aug; Altai selection; translucent amber berries; needs male pollinator,Altai Horticulture Institute;specialty nurseries,Russian sea buckthorn; Altai selection,,,,,,juice/wine,Hippophae rhamnoides,,,,,,,,,,,,
Sanna,4-6 plants per m²,crown at soil level; acidic soil required,Oct-Nov or Mar-Apr,2-3 years to full crop,30-40 cm in row; 30-40 cm between rows,Harvest Aug-Sep; erect form suits mechanical harvest; two crops in good years,SLU Balsgard;Nordic nurseries,Swedish lingonberry; erect; mechanical harvest,,,,,,fresh eating,Vaccinium vitis-idaea,,,,,,,,,,,,
Ida,4-6 plants per m²,crown at soil level; acidic soil required,Oct-Nov or Mar-Apr,2-3 years to full crop,30-40 cm in row; 30-40 cm between rows,Harvest Aug-Sep; largest berries of Swedish cultivars; hand harvest,SLU Balsgard;Nordic nurseries,Swedish lingonberry; largest berries,,,,,,fresh eating,Vaccinium vitis-idaea,,,,,,,,,,,,
Linnea,4-6 plants per m²,crown at soil level; acidic soil required,Oct-Nov or Mar-Apr,2-3 years to full crop,30-40 cm in row; 30-40 cm between rows,Harvest Aug-Sep; productive; reliable annual crop,SLU Balsgard;Nordic nurseries,Swedish lingonberry; productive,,,,,,fresh eating,Vaccinium vitis-idaea,,,,,,,,,,,,
Koralle,4-6 plants per m²,crown at soil level; acidic soil required,Oct-Nov or Mar-Apr,2-3 years to full crop,30-40 cm in row; 30-40 cm between rows,Harvest Aug-Sep; earliest cultivated lingonberry; compact habit,German nurseries;commercial,German lingonberry; early domestication,,,,,,fresh eating,Vaccinium vitis-idaea,,,,,,,,,,,,
Jokioinen,4-6 plants per m²,crown at soil level; acidic soil required,Oct-Nov or Mar-Apr,2-3 years to full crop,30-40 cm in row; 30-40 cm between rows,Harvest Aug-Sep; large berries; Finnish selection,MTT Finland;Nordic nurseries,Finnish lingonberry; large berry,,,,,,fresh eating,Vaccinium vitis-idaea,,,,,,,,,,,,
Red Pearl,4-6 plants per m²,crown at soil level; acidic soil required,Oct-Nov or Mar-Apr,2-3 years to full crop,30-40 cm in row; 30-40 cm between rows,Harvest Aug-Sep; ornamental groundcover; productive,Dutch nurseries;commercial,Dutch lingonberry; ornamental and productive,,,,,,fresh eating,Vaccinium vitis-idaea,,,,,,,,,,,,
Mespi,4-6 plants per m²,rhizome 3-5 cm deep,Oct-Nov or Mar-Apr,2 years to first crop,30-40 cm in row; 60-80 cm between rows,Harvest Jul-Aug; exceptional aroma but low yields; hand pick only,MTT Finland;Arctic plant nurseries,Arctic bramble; exceptional aroma; low yields,,,,,,fresh eating,Rubus arcticus,,,,,,,,,,,,
Pima,4-6 plants per m²,rhizome 3-5 cm deep,Oct-Nov or Mar-Apr,2 years to first crop,30-40 cm in row; 60-80 cm between rows,Harvest Jul-Aug; exceptional aroma; Finnish cultivar; hand pick only,MTT Finland;Arctic plant nurseries,Arctic bramble; exceptional aroma,,,,,,fresh eating,Rubus arcticus,,,,,,,,,,,,
Marika,4-6 plants per m²,rhizome 3-5 cm deep,Oct-Nov or Mar-Apr,2 years to first crop,30-40 cm in row; 60-80 cm between rows,Harvest Jul-Aug; exceptional aroma; Finnish cultivar; hand pick only,MTT Finland;Arctic plant nurseries,Arctic bramble; exceptional aroma,,,,,,fresh eating,Rubus arcticus,,,,,,,,,,,,
Grindstad,15-20 kg/ha,1-2 cm,May-Jun or Aug (undersown),perennial; 2nd year full yield,broadcast or 12 cm drill rows,2-3 cuts per season; first cut at heading; primary Scandinavian forage,Graminor;NordGen,Most widely grown Scandinavian timothy,,,,,,forage,Phleum pratense,,,,,,,,,,,,
Lidar,15-20 kg/ha,1-2 cm,May-Jun or Aug (undersown),perennial; 2nd year full yield,broadcast or 12 cm drill rows,2-3 cuts per season; high digestibility; excellent animal palatability,Graminor;NordGen,Norwegian timothy; high digestibility,,,,,,forage,Phleum pratense,,,,,,,,,,,,
Switch,15-20 kg/ha,1-2 cm,May-Jun or Aug (undersown),perennial; 2nd year full yield,broadcast or 12 cm drill rows,2-3 cuts per season; early heading; good for first-cut timing,Graminor;NordGen,Norwegian timothy; early heading,,,,,,forage,Phleum pratense,,,,,,,,,,,,
Engmo,15-20 kg/ha,1-2 cm,Jun or Aug (undersown),perennial; 2nd year full yield,broadcast or 12 cm drill rows,1-2 cuts per season; Arctic adapted; survives 70N latitude,Graminor;NordGen,Arctic timothy; survives 70N,,,,,,forage,Phleum pratense,,,,,,,,,,,,
Noreng,15-20 kg/ha,1-2 cm,Jun or Aug (undersown),perennial; 2nd year full yield,broadcast or 12 cm drill rows,1-2 cuts per season; adapted to northern Norway conditions,Graminor;NordGen,Northern Norwegian timothy,,,,,,forage,Phleum pratense,,,,,,,,,,,,
Iki,15-20 kg/ha,1-2 cm,May-Jun or Aug (undersown),perennial; 2nd year full yield,broadcast or 12 cm drill rows,2-3 cuts per season; tolerates ice encasement; Finnish conditions,Boreal;NordGen,Finnish timothy; ice encasement tolerant,,,,,,forage,Phleum pratense,,,,,,,,,,,,
